filename, type
Ab13f.csv, A0V
Bb14.csv, A0V
Bb20.csv, A0V
Ab14f.csv, A1V
Bb17.csv, A1V
Ab70f.csv, A2I
Ab15f.csv, A2V
Bb16.csv, A2V
Bb18.csv, A2V
Bb23.csv, A2V
Ab16f.csv, A3V
Bb19.csv, A3V
Ab17f.csv, A5V
Bb24.csv, A5V
Bb28.csv, A5V
Ab18f.csv, A7V
Bb22.csv, A7V
Ab67f.csv, B1I
Ab66f.csv, B0I
Ab5f.csv, B0V
Ab6f.csv, B1V
Ab7f.csv, B2V
Ab8f.csv, B3V
Ab68f.csv, B5I
Ab9f.csv, B5V
Bb11.csv, B6V
Bb12.csv, B7V
Ab69f.csv, B8I
Ab11f.csv, B8V
Ab12f.csv, B9V
Bb13.csv, B9V
Bb15.csv, B9V
Bb21.csv, B9V
Ab71f.csv, F0I
Ab72f.csv, F2I
Ab19f.csv, F2V
Bb31.csv, F4V
Ab20f.csv, F5V
Ab21f.csv, F6V
Bb33.csv, F6V
Ab22f.csv, F7V
Ab73f.csv, F8I
Ab23f.csv, F8V
Bb35.csv, F8V
Bb38.csv, F8V
Bb41.csv, F8V
Bb42.csv, F8V
Bb37.csv, F9V
Ab74f.csv, G0I
Ab24f.csv, G0V
Bb36.csv, G0V
Ab25f.csv, G1V
Ab75f.csv, G2I
Ab26f.csv, G2V
Bb45.csv, G2V
Bb46.csv, G2V
Ab27f.csv, G5V
Bb44.csv, G5V
Bb51.csv, G5V
Ab76f.csv, G8I
Bb49.csv, G8V
Bb53.csv, G8V
Bb54.csv, G8V
Ab28f.csv, K0V
Bb48.csv, K0V
Ab29f.csv, K3V
Bb56.csv, K3V
Bb57.csv, K4V
Ab30f.csv, K5V
Bb63.csv, K7V
Bb64.csv, K7V
Bb59.csv, K8V
Ab31f.csv, K9V
Ab32f.csv, M0V
Bb61.csv, M0V
Bb65.csv, M0V
Bb66.csv, M0V
Ab77f.csv, M1I
Ab33f.csv, M1V
Ab34f.csv, M2V
Bb67.csv, M2V
Bb68.csv, M4V
Bb71.csv, M5V
Ab35f.csv, M6V
Bb69.csv, M6V
Bb70.csv, M8V
Ab1f.csv, O5V
Ab64f.csv, O7I
Ab2f.csv, O7V
Ab3f.csv, O8V
Ab65f.csv, O9I
Ab4f.csv, O9V
