wavelength,flux
90.045200,3.472131e-30
90.135400,4.708443e-30
90.225800,5.011926e-30
90.316300,5.144745e-30
90.406800,5.273593e-30
90.497400,5.429830e-30
90.588200,5.588931e-30
90.679000,5.741888e-30
90.769900,5.899946e-30
90.860900,6.060876e-30
90.952000,6.224691e-30
91.043100,6.395931e-30
91.134400,6.579212e-30
91.225800,6.824687e-30
91.317200,7.481819e-30
91.408800,1.361960e-29
91.500400,1.052899e-28
91.592100,6.824511e-28
91.684000,1.990511e-27
91.775900,3.355670e-27
91.867900,4.484742e-27
91.960000,5.671551e-27
92.052200,6.512995e-27
92.144500,7.701636e-27
92.236800,8.536502e-27
92.329300,9.223088e-27
92.421900,1.358660e-26
92.514500,1.381525e-26
92.607300,1.072895e-26
92.700100,1.501585e-26
92.793000,2.234511e-26
92.886000,2.320441e-26
92.979200,1.687347e-26
93.072400,1.196762e-26
93.165700,1.808838e-26
93.259100,2.824839e-26
93.352600,3.469576e-26
93.446200,3.670077e-26
93.539800,3.423651e-26
93.633600,2.634064e-26
93.727500,1.625676e-26
93.821400,1.620505e-26
93.915500,2.809235e-26
94.009700,3.929699e-26
94.103900,4.565168e-26
94.198200,4.957943e-26
94.292700,5.179555e-26
94.387200,5.258198e-26
94.481800,4.995170e-26
94.576500,4.809386e-26
94.671400,4.922045e-26
94.766300,4.465020e-26
94.861300,3.124643e-26
94.956400,1.959718e-26
95.051600,2.746588e-26
95.146800,4.624804e-26
95.242200,5.867687e-26
95.337700,6.541023e-26
95.433300,7.279341e-26
95.529000,8.040572e-26
95.624700,8.717239e-26
95.720600,9.236151e-26
95.816600,9.412952e-26
95.912600,9.492235e-26
96.008800,9.475975e-26
96.105000,9.692102e-26
96.201400,9.954660e-26
96.297800,9.903573e-26
96.394300,9.422556e-26
96.491000,9.418542e-26
96.587700,1.030536e-25
96.684500,1.093223e-25
96.781500,1.091317e-25
96.878500,1.041116e-25
96.975600,9.263776e-26
97.072800,7.142258e-26
97.170100,4.226776e-26
97.267500,2.964160e-26
97.365100,5.141276e-26
97.462700,8.431762e-26
97.560400,1.088900e-25
97.658200,1.241920e-25
97.756100,1.319720e-25
97.854100,1.370577e-25
97.952200,1.421108e-25
98.050400,1.453159e-25
98.148700,1.472944e-25
98.247100,1.507065e-25
98.345600,1.539464e-25
98.444200,1.529028e-25
98.542800,1.540596e-25
98.641600,1.591078e-25
98.740500,1.545716e-25
98.839500,1.435476e-25
98.938600,1.338984e-25
99.037800,1.326909e-25
99.137100,1.485548e-25
99.236500,1.612752e-25
99.335900,1.654595e-25
99.435500,1.579186e-25
99.535200,1.598349e-25
99.635000,1.693639e-25
99.734900,1.736231e-25
99.834900,1.775442e-25
99.934900,1.818351e-25
100.035100,1.876763e-25
100.135400,1.941713e-25
100.235800,1.991795e-25
100.336300,2.034633e-25
100.436900,2.054448e-25
100.537600,2.058847e-25
100.638300,2.061033e-25
100.739200,2.081274e-25
100.840200,2.114387e-25
100.941300,2.138981e-25
101.042500,2.188808e-25
101.143800,2.234628e-25
101.245200,2.256782e-25
101.346700,2.299812e-25
101.448300,2.332024e-25
101.550000,2.374513e-25
101.651800,2.448265e-25
101.753700,2.474991e-25
101.855700,2.452703e-25
101.957800,2.414672e-25
102.060100,2.347980e-25
102.162400,2.248449e-25
102.264800,2.005714e-25
102.367300,1.536621e-25
102.469900,9.073302e-26
102.572700,5.550489e-26
102.675500,9.207826e-26
102.778400,1.592345e-25
102.881500,2.166680e-25
102.984600,2.568316e-25
103.087800,2.793010e-25
103.191200,2.960327e-25
103.294600,3.115159e-25
103.398200,3.209174e-25
103.501800,3.209745e-25
103.605600,3.042894e-25
103.709500,3.040171e-25
103.813400,3.350007e-25
103.917500,3.554706e-25
104.021700,3.641779e-25
104.126000,3.711388e-25
104.230300,3.733690e-25
104.334800,3.735223e-25
104.439400,3.802408e-25
104.544100,3.893773e-25
104.648900,3.976499e-25
104.753900,4.002498e-25
104.858900,4.037604e-25
104.964000,4.175333e-25
105.069200,4.277349e-25
105.174500,4.316195e-25
105.280000,4.370351e-25
105.385500,4.455088e-25
105.491200,4.524930e-25
105.596900,4.628588e-25
105.702800,4.747938e-25
105.808800,4.824860e-25
105.914800,4.822254e-25
106.021000,4.853459e-25
106.127300,4.974144e-25
106.233700,4.965595e-25
106.340200,4.941519e-25
106.446800,5.097153e-25
106.553500,5.144657e-25
106.660300,5.098942e-25
106.767300,5.102940e-25
106.874300,5.219437e-25
106.981400,5.471042e-25
107.088700,5.642058e-25
107.196000,5.722544e-25
107.303500,5.762383e-25
107.411100,5.871808e-25
107.518800,6.000629e-25
107.626500,6.133100e-25
107.734400,6.310551e-25
107.842400,6.450501e-25
107.950600,6.581432e-25
108.058800,6.696875e-25
108.167100,6.742320e-25
108.275500,6.752633e-25
108.384100,6.634397e-25
108.492700,6.596166e-25
108.601500,6.893400e-25
108.710400,7.275876e-25
108.819400,7.436284e-25
108.928500,7.529123e-25
